code,date,rank,trend_score,rating,confidence,prob_up_1d,prob_up_3d,prob_up_5d,pred_return_1d,pred_return_3d,pred_return_5d,ret_5d,ret_20d,rel_ret_5d,rel_ret_20d,turnover,log_money
bj831370,2025-09-30,1,100.0,强,0.2648420291497033,0.6329116694927666,0.6366810234041187,0.6276703508276696,0.007753826462660797,0.013577879401355008,0.013175139255214078,-0.10131332082551614,-0.0752895752895757,-0.11726117826553839,-0.08167868089254915,0.0158509855001642,16.80936261501853
bj430476,2025-09-30,2,98.7012987012987,强,0.26294306879685925,0.6348351945280367,0.6314256006454043,0.6281538080218478,0.006499967909486531,0.01034864938781599,0.011639734174746091,-0.02081696779261588,-0.13557558945908466,-0.03676482523263813,-0.1419646950620581,0.0167478145195689,17.335455694976275
bj831906,2025-09-30,3,97.40259740259741,强,0.2664067009893479,0.6352643671788768,0.6324594642095357,0.6318862200956094,0.007573389541352077,0.010652801413173632,0.009707598374304799,-0.05180327868852441,-0.2769999999999999,-0.06775113612854666,-0.28338910560297337,0.0547317841910654,17.783495000029788
bj831278,2025-09-30,4,96.1038961038961,强,0.23907904491126653,0.6156612682578234,0.6228808687517381,0.6200764303573383,0.004874183578386055,0.009676491778114256,0.009899689924451087,-0.0769230769230771,-0.14551083591331282,-0.09287093436309934,-0.15189994151628627,0.0160109961492612,16.803686504250372
bj831856,2025-09-30,5,94.8051948051948,强,0.24312041940664883,0.6241827889245908,0.6217559814938819,0.6187418586915006,0.005369767304915599,0.008358903060439836,0.00924849431458065,-0.04638124362895024,-0.15985630893578828,-0.06232910106897249,-0.16624541453876174,0.0215376165427357,16.885485273201983
bj831768,2025-09-30,6,93.5064935064935,强,0.24028017895742493,0.620450890827851,0.6205818211664177,0.6193875564418687,0.005874338565175908,0.008644574866403111,0.008402265311197945,-0.025602409638554646,-0.1810126582278484,-0.0415502670785769,-0.18740176383082185,0.0292244837063947,17.183986794445076
bj430556,2025-09-30,7,92.20779220779221,强,0.23380468164462007,0.6124844155149718,0.6202331381258442,0.617989468826114,0.0056349139208862215,0.00828720593866585,0.00912176350939941,-0.03211418376449604,-0.2244460328806288,-0.04806204120451829,-0.23083513848360226,0.0250680866675125,17.290475646753716
bj831195,2025-09-30,8,90.9090909090909,强,0.23904008338502103,0.6196663424013991,0.6203242936488755,0.618569489027257,0.004576131305253486,0.008015109837989668,0.008456873408417631,-0.04612159329140453,-0.12415784408084751,-0.06206945073142678,-0.13054694968382097,0.0182457676576338,16.979978178989803
bj831855,2025-09-30,9,89.6103896103896,强,0.23072937675866725,0.6130971428575608,0.6171720560233351,0.615824866257105,0.004339691332315552,0.007870651551936916,0.00889950800809745,-0.020843431895298248,-0.1281829952524821,-0.0367912893353205,-0.13457210085545557,0.0110253074007612,16.52136795663157
bj831834,2025-09-30,10,88.31168831168831,强,0.24109314661461023,0.6191350072630101,0.613532775387829,0.6289719372710763,0.007934309584059343,0.004025789813511564,0.007224441966590001,-0.057636887608069176,0.0872716404527969,-0.07358474504809143,0.08088253484982344,0.0796351366356936,18.217791617368306
