date,rank_ic,n
2024-01-02,0.09849323987467799,78
2024-01-03,-0.004991387109769436,78
2024-01-04,-0.137170472541666,78
2024-01-05,0.02268297272781442,78
2024-01-08,-0.12668221068427715,78
2024-01-09,0.19839112086254254,78
2024-01-10,-0.07407081445328191,78
2024-01-11,0.0998969181394066,78
2024-01-12,0.4517672849132578,78
2024-01-15,0.41176526028833005,78
2024-01-16,0.17718942048362687,78
2024-01-17,0.06156748886301324,78
2024-01-18,-0.03141261944119158,78
2024-01-19,0.2785476762282981,78
2024-01-22,0.22182725072605267,78
2024-01-23,0.10101388546515515,78
2024-01-24,-0.006562464477881965,78
2024-01-25,-0.1625325205832817,79
2024-01-26,-0.3389940718668775,79
2024-01-29,0.005050059570402891,79
2024-01-30,0.21694554330558685,79
2024-01-31,0.2129575348987737,79
2024-02-01,0.3886088467166146,79
2024-02-02,0.2855367341282963,79
2024-02-05,0.3353143304100797,79
2024-02-06,0.24998346852491618,79
2024-02-07,0.3721185411501979,79
2024-02-08,0.1672200899556827,79
2024-02-19,0.08393429853063493,79
2024-02-20,0.09322621890553834,79
2024-02-21,0.016212268743914314,79
2024-02-22,0.09061407125850177,79
2024-02-23,-0.10193003724086615,79
2024-02-26,0.1624848180559805,79
2024-02-27,0.026055619300131342,79
2024-02-28,-0.03364167478091529,79
2024-02-29,-0.017170415553487545,79
2024-03-01,0.06583796288359633,79
2024-03-04,0.3058197773898975,79
2024-03-05,0.3064995131450828,79
2024-03-06,0.20846544756022684,79
2024-03-07,0.28478401129055986,79
2024-03-08,0.35177432205219483,79
2024-03-11,-0.06054777890264109,79
2024-03-12,0.061688272282709004,79
2024-03-13,0.14220853556927224,79
2024-03-14,0.3531638566970647,79
2024-03-15,0.2825195153030162,80
2024-03-18,0.26274446850311106,80
2024-03-19,0.10844934432959749,80
2024-03-20,0.10669089641591901,80
2024-03-21,0.2430664651560276,80
2024-03-22,0.20720937183531993,80
2024-03-25,0.30206282231598686,80
2024-03-26,0.19836028106459386,80
2024-03-27,-0.10692749020044255,80
2024-03-28,-0.28475742917146246,80
2024-03-29,-0.0738092588374226,80
2024-04-01,0.01807324234233064,80
2024-04-02,0.06938584153774027,80
2024-04-03,0.15743084857008907,80
2024-04-08,0.004195992709827736,80
2024-04-09,-0.13664541396447905,80
2024-04-10,0.016007524193775362,80
2024-04-11,-0.09594580340325458,80
2024-04-12,-0.015635622030128762,80
2024-04-15,0.21244725738396625,80
2024-04-16,0.2286905309343819,80
2024-04-17,0.19118724324779338,80
2024-04-18,0.08259542074345266,80
2024-04-19,0.13870948860485424,80
2024-04-22,0.22405546937458792,80
2024-04-23,0.12300822203810638,80
2024-04-24,0.2631322934161188,80
2024-04-25,0.21340806852715874,80
2024-04-26,0.4111195366196119,80
2024-04-29,0.12782043039005708,80
2024-04-30,0.09324894514767933,80
2024-05-06,0.0914093495640964,80
2024-05-07,0.28959212376933896,80
2024-05-08,0.2973112356943375,80
2024-05-09,0.2921775007249249,80
2024-05-10,0.34324894514767934,80
2024-05-13,0.34116268166901076,80
2024-05-14,0.10096108766994843,80
2024-05-15,0.029324894514767934,80
2024-05-16,-0.05752596171204795,80
2024-05-17,0.09496015002344116,80
2024-05-20,0.14510079699953118,80
2024-05-21,0.3030075717562884,80
2024-05-22,0.17787571209088013,80
2024-05-23,-0.05586029067041725,80
2024-05-24,0.021812129701087753,80
2024-05-27,-0.024003750586029066,80
2024-05-28,-0.15989217065166433,80
2024-05-29,-0.10753646876887704,80
2024-05-30,-0.17500307974895765,80
2024-05-31,-0.01761670621536551,80
2024-06-03,0.14988279418659164,80
2024-06-04,0.0937886415196691,80
2024-06-05,0.2022737927801219,80
2024-06-06,0.30335208626347865,80
2024-06-07,0.035584727650287376,80
2024-06-11,0.05679926863418589,80
2024-06-12,0.1453854989967895,80
2024-06-13,0.4021568425237748,80
2024-06-14,0.4556113362798258,80
2024-06-17,0.3876674270495578,80
2024-06-18,0.2740726434582235,80
2024-06-19,0.3655170394513214,80
2024-06-20,0.2672308206259005,80
2024-06-21,0.12334739803094233,80
2024-06-24,0.11854195968120018,80
2024-06-25,0.35210004747467877,80
2024-06-26,0.3312958936759519,80
2024-06-27,0.2156247985550303,80
2024-06-28,0.396052485077623,80
2024-07-01,0.27038740132323413,80
2024-07-02,0.0766061685794248,80
2024-07-03,0.008415574675886396,80
2024-07-04,0.14205677586593748,80
2024-07-05,0.04792573796225031,80
2024-07-08,0.1316918829267414,80
2024-07-09,0.3031325744820944,80
2024-07-10,0.4718265208788422,80
2024-07-11,0.33593350535326477,80
2024-07-12,0.4556352036539315,80
2024-07-15,0.4339869829074875,80
2024-07-16,0.35951711204875764,80
2024-07-17,0.21114593374650273,80
2024-07-18,0.1904616791232454,80
2024-07-19,0.08822133275662951,80
2024-07-22,0.09112805396343755,80
2024-07-23,0.09198851331510023,80
2024-07-24,0.10544825989025289,80
2024-07-25,0.0753398968588842,80
2024-07-26,0.06040787623066104,80
2024-07-29,0.08774027191748711,80
2024-07-30,0.12421544899093392,80
2024-07-31,-0.025035308458636992,80
2024-08-01,0.0743553680262541,80
2024-08-02,-0.03152836380684482,80
2024-08-05,0.1418833786586689,80
2024-08-06,0.01917487107360525,80
2024-08-07,0.1994608532583216,80
2024-08-08,0.27721159211361884,80
2024-08-09,0.3622522533330551,80
2024-08-12,0.45489069995485787,80
2024-08-13,0.25776053540371946,80
2024-08-14,0.23826909440806715,80
2024-08-15,0.07503604121520105,80
2024-08-16,-0.025761837787154244,80
2024-08-19,0.008040507280860818,80
2024-08-20,-0.05740875315110246,80
2024-08-21,-0.05275742844435093,80
2024-08-22,-0.042194340098826395,80
2024-08-23,0.11823861039971074,80
2024-08-26,0.0851402986708061,80
2024-08-27,0.2993670886075949,80
2024-08-28,0.2404491353131732,80
