output_dir,model,target,future_quarters,train_rows,test_rows,train_period,test_period,test_r2,test_rank_ic_mean,test_rank_ic_positive_rate,top_minus_bottom_future_quality_change,test_rmse
model_outputs_quality_trend_change_hgb_v1,hgb,future_quality_score_chg,4,32756,14041,2016-03-31 to 2022-12-31,2023-03-31 to 2025-03-31,0.31090084044165434,0.5421660016075077,1.0,31.379739716662847,15.56567347625039
model_outputs_quality_trend_change_ridge_v1,ridge,future_quality_score_chg,4,32756,14041,2016-03-31 to 2022-12-31,2023-03-31 to 2025-03-31,0.3223027131394365,0.5330475884777575,1.0,30.601290892214134,15.436361096790403
