index_code,date,open,close,low,high,volume,money,change
sh000300,2026-05-22,4818.84,4845.1,4785.35,4851.35,28694043500.0,771823300900.0,0.0129623047814178
sh000300,2026-05-21,4886.24,4783.1,4780.71,4937.93,28734250700.0,891936348000.0,-0.013936132929267875
sh000300,2026-05-20,4829.61,4850.7,4825.64,4866.21,22002320600.0,729653332800.0,-0.00044921778407880364
sh000300,2026-05-19,4818.71,4852.88,4773.53,4854.52,23228085200.0,712401050000.0,0.00400536255151529
sh000300,2026-05-18,4836.33,4833.52,4806.15,4868.60,23907758700.0,733452822600.0,-0.00536465010422682
sh000300,2026-05-15,4911.62,4859.59,4832.69,4935.62,27696776900.0,887687427000.0,-0.011193179505961881
sh000300,2026-05-14,5027.64,4914.6,4913.60,5030.52,28069537900.0,857446326200.0,-0.016753562182644566
sh000300,2026-05-13,4919.42,4998.34,4919.42,5001.12,26845453700.0,823173197900.0001,0.010163599801942258
sh000300,2026-05-12,4965.02,4948.05,4926.79,4971.30,27381200100.0,819351442700.0,-0.0007653720637177397
sh000300,2026-05-11,4902.28,4951.84,4889.57,4960.40,30573480100.0,904479321900.0,0.016406296503835405
sh000300,2026-05-08,4871.12,4871.91,4849.99,4887.21,25172099600.0,716546104100.0,-0.005836127260223978
sh000300,2026-05-07,4895.80,4900.51,4866.87,4901.86,25783397200.0,787236200000.0,0.0048020438417171185
sh000300,2026-05-06,4857.65,4877.09,4834.28,4892.80,27444388000.0,881744311600.0,0.014515394264151826
sh000300,2026-04-30,4820.97,4807.31,4797.54,4829.27,25063337000.0,726665374500.0,-0.0006319706466265673
sh000300,2026-04-29,4737.58,4810.35,4737.11,4813.61,23329811000.0,681020507300.0,0.010957902236345296
sh000300,2026-04-28,4757.08,4758.21,4743.44,4778.19,21672423300.0,631521664900.0,-0.002670327712510079
sh000300,2026-04-27,4776.34,4770.95,4762.64,4795.17,19279655000.0,648904815000.0,0.0003312806513229294
sh000300,2026-04-24,4771.73,4769.37,4735.61,4786.44,19379831400.0,680097832500.0,-0.003543424711626608
sh000300,2026-04-23,4816.03,4786.33,4759.86,4823.47,23286573600.0,693853776000.0,-0.00277104693486796
sh000300,2026-04-22,4751.28,4799.63,4750.35,4801.45,20448183000.0,619505670200.0,0.006633808724832324
sh000300,2026-04-21,4750.51,4768.0,4722.01,4776.83,20561405800.0,580407995600.0,0.0022196811730679222
sh000300,2026-04-20,4727.17,4757.44,4720.69,4763.04,22163349400.0,626568410300.0,0.006084163200223314
sh000300,2026-04-17,4729.00,4728.67,4714.47,4738.32,18291533600.0,587622682300.0,-0.0016763043611358608
sh000300,2026-04-16,4694.43,4736.61,4689.41,4739.22,19205760000.0,567611323600.0,0.010962061789658861
sh000300,2026-04-15,4726.64,4685.25,4672.56,4731.27,20168850000.0,604550556800.0,-0.0034097096960826745
sh000300,2026-04-14,4676.12,4701.28,4654.85,4701.28,20470033200.0,605717793600.0,0.011865738299452255
sh000300,2026-04-13,4615.13,4646.15,4615.13,4653.40,19671227700.0,556620945200.0,0.0020661825444239224
sh000300,2026-04-10,4594.95,4636.57,4590.11,4655.10,20867860500.0,625717995600.0,0.015406616413575991
sh000300,2026-04-09,4562.67,4566.22,4552.42,4579.20,18493978300.0,500445676700.0,-0.006384423225896385
sh000300,2026-04-08,4517.34,4595.56,4513.77,4595.56,25333921300.0,641779181000.0,0.034891524156536846
sh000300,2026-04-07,4445.86,4440.62,4420.69,4458.93,16263878700.0,378261695000.0,-3.828147694440176e-05
sh000300,2026-04-03,4492.85,4440.79,4437.60,4494.46,16832170500.0,373234910200.00006,-0.00851099932796151
sh000300,2026-04-02,4514.44,4478.91,4459.61,4519.69,19099216100.0,429949131700.0,-0.010419635577885389
sh000300,2026-04-01,4517.27,4526.07,4492.05,4532.11,21648319600.0,503744057000.0,0.017082954124110872
sh000300,2026-03-31,4491.92,4450.05,4450.05,4523.17,22454158500.0,484558113000.0,-0.009327797504424473
sh000300,2026-03-30,4461.74,4491.95,4447.14,4496.41,20929309200.0,444629519700.0,-0.002358652947094586
sh000300,2026-03-27,4431.50,4502.57,4431.42,4519.89,19240038800.0,440517561599.99994,0.0055923690070194265
sh000300,2026-03-26,4525.33,4477.53,4468.96,4541.05,21373678800.0,471127498400.00006,-0.013210004694246047
sh000300,2026-03-25,4506.62,4537.47,4502.03,4542.18,26263927900.0,550428161200.0,0.014023223799477957
sh000300,2026-03-24,4458.91,4474.72,4394.29,4474.83,25553251700.0,530149390300.0,0.012838388411045676
sh000300,2026-03-23,4499.10,4418.0,4397.57,4514.72,32808194500.0,671719761100.0,-0.032629592162942256
sh000300,2026-03-20,4602.82,4567.02,4563.07,4628.71,25787370300.0,615463088600.0,-0.0035411552937325563
sh000300,2026-03-19,4611.44,4583.25,4570.39,4634.55,25413044900.0,547850295800.0,-0.01611736394802432
sh000300,2026-03-18,4648.75,4658.33,4604.52,4662.29,23469070500.0,524173911500.0,0.0045046404913056115
sh000300,2026-03-17,4685.57,4637.44,4637.37,4720.86,26302191300.0,578501505800.0,-0.007303770046836799
sh000300,2026-03-16,4669.22,4671.56,4621.81,4673.69,29621507000.0,598799098400.0,0.000518296731303769
sh000300,2026-03-13,4669.06,4669.14,4659.50,4707.42,31077200900.0,580305608200.0,-0.003929549701763846
sh000300,2026-03-12,4700.72,4687.56,4654.31,4704.38,30298681600.0,572105482500.0,-0.003600807737272782
sh000300,2026-03-11,4681.03,4704.5,4674.71,4711.87,27017544300.0,579564397600.0,0.006361823922511389
sh000300,2026-03-10,4648.79,4674.76,4648.79,4677.60,26390374800.0,557607876100.0,0.012848123480649898
sh000300,2026-03-09,4600.25,4615.46,4548.97,4625.98,32278761700.0,665821508000.0,-0.009651449219386876
sh000300,2026-03-06,4621.49,4660.44,4612.79,4671.71,23852792600.0,487807080200.00006,0.0027432982836634867
sh000300,2026-03-05,4651.94,4647.69,4630.30,4671.53,25931782500.0,570443777100.0,0.00979224876266116
sh000300,2026-03-04,4609.19,4602.62,4575.82,4639.42,30303566600.0,608923128600.0,-0.011443544749672352
sh000300,2026-03-03,4737.32,4655.9,4651.40,4744.60,37062427200.0,801659243800.0,-0.01538910518179537
sh000300,2026-03-02,4681.01,4728.67,4667.28,4735.41,34926075200.0,752681937800.0,0.0038253744175433813
sh000300,2026-02-27,4698.30,4710.65,4692.89,4721.01,26142086500.0,578820992500.0,-0.003431446178972619
sh000300,2026-02-26,4741.39,4726.87,4706.69,4742.15,23484764400.0,599848915400.0,-0.0019046050478369603
sh000300,2026-02-25,4713.58,4735.89,4713.34,4766.56,28426835400.0,596903872600.0,0.006022253661147836
sh000300,2026-02-24,4727.30,4707.54,4698.35,4727.37,21848889000.0,526084235600.0,0.010112844148905342
sh000300,2026-02-13,4693.41,4660.41,4658.40,4703.63,18916775600.0,452878594099.99994,-0.012537132541454943
sh000300,2026-02-12,4720.01,4719.58,4707.74,4726.04,19784143900.0,490473852299.99994,0.001221938894569563
sh000300,2026-02-11,4715.67,4713.82,4703.69,4723.70,17339168100.0,433428613400.00006,-0.0022183180577017847
sh000300,2026-02-10,4718.26,4724.3,4713.87,4732.09,18700095800.0,450339579000.0,0.001110390628642044
sh000300,2026-02-09,4693.67,4719.06,4679.90,4719.96,20725193800.0,522757267200.0,0.0162503230252391
sh000300,2026-02-06,4622.97,4643.6,4606.64,4678.26,20271647700.0,505759806200.0,-0.005742524226943102
sh000300,2026-02-05,4664.75,4670.42,4639.43,4687.02,23785635100.0,550433167200.0,-0.0060144551235666865
sh000300,2026-02-04,4647.97,4698.68,4641.84,4701.48,26488103200.0,636018589900.0,0.008276628663272056
sh000300,2026-02-03,4648.36,4660.11,4578.21,4662.13,26554940500.0,666626842800.0,0.011752113556724009
sh000300,2026-02-02,4674.28,4605.98,4601.76,4716.61,30477350000.0,725920381300.0,-0.021324426199552216
sh000300,2026-01-30,4723.08,4706.34,4645.47,4738.87,31978653100.0,750564885200.0,-0.00999816991209257
sh000300,2026-01-29,4733.09,4753.87,4696.05,4770.96,41551305500.0,917966160300.0,0.007604933456832219
sh000300,2026-01-28,4725.60,4717.99,4697.91,4739.63,38225560200.0,829414067099.9999,0.0026138568413984764
sh000300,2026-01-27,4705.17,4705.69,4675.64,4736.99,30147569700.0,715267914800.0,-0.00026981321277441683
sh000300,2026-01-26,4715.38,4706.96,4693.16,4754.18,36300448100.0,796832970300.0,0.0009484316852736985
sh000300,2026-01-23,4729.59,4702.5,4684.62,4734.79,31463544500.0,755617735500.0,-0.004490114761490416
sh000300,2026-01-22,4741.75,4723.71,4700.45,4757.76,27419993200.0,690235248199.9999,0.00013550508461657174
sh000300,2026-01-21,4714.55,4723.07,4714.24,4758.28,26635333200.0,665330511200.0,0.0008879225578950489
sh000300,2026-01-20,4736.91,4718.88,4684.97,4748.23,28271957900.0,671960685400.0001,-0.00329076600076883
sh000300,2026-01-19,4720.19,4734.46,4715.09,4761.63,26761249200.0,655149256200.0,0.0005473523152581539
sh000300,2026-01-16,4778.43,4731.87,4715.36,4792.55,32527892900.0,785624166100.0,-0.0041166554068986505
sh000300,2026-01-15,4721.80,4751.43,4720.94,4769.55,25400363600.0,674058683600.0,0.002003403677405702
sh000300,2026-01-14,4767.70,4741.93,4720.25,4818.10,36495102300.0,891334219200.0,-0.004011736956078704
