code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_date,report_type,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sz300750,2018-06-11,30.17,36.2,30.17,36.2,0.439936,78829.0,2845471.8,7864223098.4,78642219400.0,0.000363,36.2,2018-08-24,2018-06-30,24.248292431035942,3.4100721727744294,19.568979694114688,2.395859002862264,18.566853076641895
sz300750,2018-06-12,39.82,39.82,39.82,39.82,0.1,26579.0,1058375.78,8650645408.24,86506441340.0,0.000122,39.82000000000001,2018-08-24,2018-06-30,26.673121674139537,3.751079390051872,21.525877663526153,2.63544490314849,20.423538384306084
sz300750,2018-06-13,43.8,43.8,43.8,43.8,0.09995,45030.0,1972314.0,9515275461.6,95152740600.0,0.000207,43.80000900000001,2018-08-24,2018-06-30,29.339094156888788,4.125998927279558,23.677384270779644,2.898857025562628,22.46487104581748
sz300750,2018-06-14,48.18,48.18,48.18,48.18,0.1,74267.0,3578184.06,10466803007.76,104668014660.0,0.000342,48.180009900000016,2018-08-24,2018-06-30,32.27300357257767,4.538598820007514,26.04512269785761,3.1887427281188914,24.711358150399228
sz300750,2018-06-15,53.0,53.0,53.0,53.0,0.1000419999999999,256510.0,13595030.0,11513917796.0,115139161000.0,0.001181,53.000034450415825,2018-08-24,2018-06-30,35.50164361450013,4.9926471037857665,28.650716126742495,3.507749368831491,27.183531842481468
sz300750,2018-06-19,58.3,58.3,58.3,58.3,0.1,1117428.0,65146052.4,12665309575.6,126653077100.0,0.005144,58.300037895457415,2018-08-24,2018-06-30,39.05180797595015,5.491911814164343,31.51578773941674,3.85852430571464,29.90188502672962
sz300750,2018-06-20,64.13,64.13,64.13,64.13,0.1,1310382.0,84034797.66,13931840533.16,139318384810.0,0.006032,64.13004168500316,2018-08-24,2018-06-30,42.95698877354516,6.041102995580777,34.66736651335842,4.244376736286104,32.89207352940259
sz300750,2018-06-21,70.54,70.54,70.54,70.54,0.099953,1231660.0,86881296.4,15324372855.28,153243705980.0,0.0056689999999999,70.54003174154427,2018-08-24,2018-06-30,47.25067812390264,6.644930692472604,38.13248142604558,4.6686158580636485,36.17973495488696
sz300750,2018-06-22,72.0,72.71,63.49,66.55,-0.0565639999999999,128170599.0,8599728955.52,14457570364.6,144575682350.0,0.589985,66.55000538611557,2018-08-24,2018-06-30,44.578007217829885,6.269069146357411,35.97556902329647,4.404541896145957,34.133264426898734
sz300750,2018-06-25,68.2,71.6,67.22,69.19,0.039669,69981999.0,4868406844.02,15031093817.08,150310916030.0,0.322136,69.18997754977738,2018-08-24,2018-06-30,46.3463909752314,6.517759492659192,37.40269903413798,4.579267525083979,35.48729689344938
sz300750,2018-06-26,67.89,75.55,67.1,74.18,0.07212,62553547.0,4537098812.25,16115140039.76,161151376660.0,0.287942,74.17995873066734,2018-08-24,2018-06-30,49.68890421365321,6.987821927525061,40.100190986448276,4.909525437356981,38.04664074540495
sz300750,2018-06-27,74.21,74.93,71.77,74.09,-0.001213,44138862.0,3241043472.73,16095588103.88,160955857330.0,0.203177,74.08997844072704,2018-08-24,2018-06-30,49.6286184037418,6.979343847537499,40.051538826987766,4.903568881825003,38.000490170180775
