statDate,group,future_quality_score,future_quality_score_chg,n
2023-03-31,1,54.02591305042449,-17.28344355927319,292
2023-03-31,2,53.62026094642935,-6.00898222355405,292
2023-03-31,3,48.573073726289024,-1.195178786337846,291
2023-03-31,4,46.85163062709038,6.234656735635636,292
2023-03-31,5,46.99866867826571,20.33612557140944,292
2023-06-30,1,56.50559630443841,-15.299190390117172,307
2023-06-30,2,52.45750400626698,-7.350826474961634,307
2023-06-30,3,48.84240356540354,-1.4099581322497545,306
2023-06-30,4,45.76013193984774,4.920891755477738,307
2023-06-30,5,45.73487499584559,19.492985861110462,307
2023-09-30,1,56.93542530697975,-13.848916003649492,301
2023-09-30,2,53.05622420482999,-6.77626418804005,301
2023-09-30,3,48.577455417185014,-1.795991978532988,300
2023-09-30,4,45.16736398190639,3.4190540562232212,301
2023-09-30,5,43.43833485155133,15.719005750660894,301
2023-12-31,1,56.93964250346513,-12.674532086790792,314
2023-12-31,2,53.49784885628946,-6.499758560631601,313
2023-12-31,3,50.04430772826306,-0.8182175363537679,314
2023-12-31,4,44.46486575380838,3.6876187791114714,313
2023-12-31,5,42.67299816922772,15.557672656686059,314
2024-03-31,1,57.81593383368263,-13.83045070337441,310
2024-03-31,2,51.97340390690794,-9.206470541658968,309
2024-03-31,3,48.89944084729727,-1.6083034146255628,309
2024-03-31,4,44.83349960836161,4.234008948879303,309
2024-03-31,5,44.23981545709151,17.82857522868521,310
2024-06-30,1,59.00654731146102,-12.793870486444177,322
2024-06-30,2,52.428790605210914,-7.397373609842046,322
2024-06-30,3,49.729708299712044,-1.4314216942540043,322
2024-06-30,4,44.17134436418067,2.756582388224297,322
2024-06-30,5,41.88206858203463,15.520240780061934,322
2024-09-30,1,59.28494518428227,-12.35490938557745,315
2024-09-30,2,54.130733925740294,-5.77472561371368,315
2024-09-30,3,47.160059150449776,-3.3151067511053594,315
2024-09-30,4,43.469693909350944,3.275466683623407,315
2024-09-30,5,42.1396300303031,16.039661932097292,315
2024-12-31,1,61.39384024846792,-9.514046265026677,326
2024-12-31,2,53.917228749440376,-5.5296115514938355,325
2024-12-31,3,47.575035931169126,-2.904110894044977,325
2024-12-31,4,44.14328034400671,3.1146039604437847,325
2024-12-31,5,41.72696036897713,15.830662044382915,326
2025-03-31,1,57.018251102048744,-14.687236171520544,324
2025-03-31,2,52.49845581842911,-6.848335470614212,323
2025-03-31,3,48.42163194579614,-1.6487401266470403,323
2025-03-31,4,46.4949477585886,5.750972786343633,323
2025-03-31,5,43.13127283784243,16.80009315305909,324
