statDate,group,future_quality_score,future_quality_score_chg,n
2023-03-31,1,52.30622403452628,-17.56885891830468,292
2023-03-31,2,51.87779775998729,-7.8788945016531935,292
2023-03-31,3,50.888034281706894,-0.047657983425819624,291
2023-03-31,4,47.87844337215864,6.753103497879887,292
2023-03-31,5,47.12697552722745,20.829415509147186,292
2023-06-30,1,54.736031134384625,-16.380894546967127,307
2023-06-30,2,53.201189826098,-6.347117638904377,307
2023-06-30,3,48.0657347963624,-2.874372201038225,306
2023-06-30,4,47.146097032858286,5.851012882718634,307
2023-06-30,5,46.148928156401745,20.100504045050773,307
2023-09-30,1,56.44192518583782,-14.536370511398966,301
2023-09-30,2,51.83153323107032,-7.078044421960728,301
2023-09-30,3,49.200339041812214,-1.5138324051087158,300
2023-09-30,4,46.11667549560786,3.4254721291371517,301
2023-09-30,5,43.58640018893701,16.420600253213518,301
2023-12-31,1,57.08532454764509,-12.637384711691215,314
2023-12-31,2,52.768549883081384,-6.8860027972911535,313
2023-12-31,3,50.29223088248899,-1.0757518936619301,314
2023-12-31,4,44.957368220115875,3.7308677490246422,313
2023-12-31,5,42.51543534871954,16.119962564027183,314
2024-03-31,1,56.13881723378872,-14.478340095647212,310
2024-03-31,2,54.81118188707111,-7.196577319776553,309
2024-03-31,3,48.49058037054066,-2.681556050237524,309
2024-03-31,4,43.67235795664363,3.06435529313829,309
2024-03-31,5,44.6532458048184,18.708726035365768,310
2024-06-30,1,58.338984431764494,-12.977532381413695,322
2024-06-30,2,52.598472516596374,-7.416608803397022,322
2024-06-30,3,49.55892016202248,-2.181570672390996,322
2024-06-30,4,44.45120166615584,3.2763472778808564,322
2024-06-30,5,42.2708803860601,15.953521957066858,322
2024-09-30,1,57.93854669194308,-12.242342051081204,315
2024-09-30,2,54.89564440880942,-5.623898399082807,315
2024-09-30,3,47.68774584665315,-3.842028580025384,315
2024-09-30,4,43.564047253788,3.350926809916242,315
2024-09-30,5,42.099077998932735,16.227729085597367,315
2024-12-31,1,59.68266178252116,-10.59747652301698,326
2024-12-31,2,53.8741363530376,-4.4641802249946885,325
2024-12-31,3,49.28496113897079,-2.620556256755383,325
2024-12-31,4,43.88585573956027,2.43860991914507,325
2024-12-31,5,42.03305396602958,16.24316477228347,326
2025-03-31,1,54.21034816413229,-13.904779573070243,324
2025-03-31,2,54.36228590891824,-7.199421849769835,323
2025-03-31,3,51.79519025773207,-1.0031800505563528,323
2025-03-31,4,44.91726598437324,4.982619135946222,323
2025-03-31,5,42.290764538377005,16.49005391562218,324
